Depth,Al,Si,K,Ca,Ti,Fe
1.0,7.524877,25.4286816,0.73052936,20.5119187,0.4663477,3.5041593300000002
10.365,6.766464200000001,23.839389,0.56449996,27.2301081,0.3997266,2.93062427
16.963,7.2819479000000005,24.2600841,0.58940437,24.943064899999996,0.43303715000000004,3.4971650000000003
19.963,6.9797678,23.8861329,0.63091172,24.8715948,0.41305082000000004,3.23837479
30.625999999999998,7.489326400000001,25.8026328,0.86335288,23.942483499999998,0.4663477,3.5391309800000004
48.03,8.6684213,26.2700718,1.56067636,17.3672343,0.50632036,4.4763712
52.61,7.554502499999999,24.961242600000002,1.06258816,23.299252600000003,0.45968559,3.4691876799999997
65.06,8.0403607,25.615657199999998,1.23691903,17.9389951,0.47300981000000003,4.04971707
114.225,8.064061099999998,25.1482182,1.03768375,19.5828074,0.47300981000000003,4.13364903
124.37,8.6091703,25.7558889,1.60218371,14.651370499999999,0.50632036,4.3854449099999995
135.234,7.489326400000001,25.8493767,1.22031609,17.6531147,0.47300981000000003,3.4342160300000004
141.095,8.289214900000001,25.1482182,1.46105872,18.296345600000002,0.48633403,4.01474542
156.46,8.7572978,26.0363523,1.660294,16.7954735,0.51298247,4.1896036699999994
159.46,7.975184599999999,25.8961206,1.20371315,21.226619699999997,0.49299614,3.6790175799999996
174.3,7.193071400000001,24.8677548,0.9463675800000001,19.725747600000002,0.44636137,3.18941448
193.015,7.684854700000001,25.7558889,1.23691903,21.726910399999998,0.47967192,3.3992443800000003
196.025,7.6967049,25.054730399999997,0.9961764000000001,21.1551496,0.4663477,3.6230629399999996
197.565,6.932367,24.6807792,0.9131617,22.513081500000002,0.43303715000000004,2.91663561
205.957,8.29514,25.381937699999998,1.4112499,21.226619699999997,0.49299614,4.04971707
216.915,8.354391,26.3168157,1.38634549,18.296345600000002,0.51298247,3.7839325299999995
230.415,7.5900531,24.493803600000003,0.9463675800000001,22.2986712,0.45302348000000003,3.4482046900000003
236.18400000000003,8.3899416,25.989608399999998,1.42785284,19.0825167,0.50632036,3.96578511
247.04,7.827057099999999,25.2884499,1.09579404,21.7983805,0.47967192,3.5950856200000003
